,emotion_accuracy,rouge1,rouge2,rougeL
task_arith_v2_03,0.61,0.3599,0.1216,0.2876
task_arith_v2_04,0.696,0.3828,0.1433,0.3124
task_arith_v2_06,0.83,0.3851,0.1545,0.3149
task_arith_v2_07,0.842,0.3888,0.1607,0.3138
task_arith_v2_08,0.798,0.3873,0.1557,0.3087
task_arith_v2_10,0.838,0.3744,0.1508,0.3106
breadcrumbs_v2_d03,0.714,0.376,0.14,0.3112
breadcrumbs_v2_d04,0.754,0.3864,0.1496,0.319
breadcrumbs_v2_d05,0.766,0.394,0.1533,0.3234
breadcrumbs_v2_d06,0.78,0.3888,0.1523,0.3191
breadcrumbs_v2_d08,0.782,0.3919,0.1548,0.3209
ties_v2_d03,0.656,0.3579,0.1221,0.2876
ties_v2_d04,0.662,0.3637,0.1279,0.2945
ties_v2_d05,0.656,0.3572,0.1223,0.288
ties_v2_d06,0.638,0.3558,0.1197,0.2861
ties_v2_d08,0.608,0.3601,0.1198,0.2863
