,scaling_factor,density,emotion_accuracy,nli_accuracy,rouge1,rouge2,rougeL
ties_v4_l03_d02,0.3,0.2,0.478,0.648,0.3366,0.1196,0.2694
ties_v4_l03_d04,0.3,0.4,0.492,0.65,0.3479,0.1224,0.275
ties_v4_l03_d06,0.3,0.6,0.478,0.646,0.3352,0.1173,0.2656
ties_v4_l03_d08,0.3,0.8,0.466,0.646,0.3279,0.1168,0.2626
ties_v4_l05_d02,0.5,0.2,0.566,0.67,0.3674,0.1285,0.2889
ties_v4_l05_d04,0.5,0.4,0.58,0.672,0.3735,0.1347,0.2983
ties_v4_l05_d06,0.5,0.6,0.572,0.672,0.3656,0.1284,0.2907
ties_v4_l05_d08,0.5,0.8,0.562,0.67,0.3675,0.1298,0.2919
ties_v4_l07_d02,0.7,0.2,0.67,0.694,0.376,0.1316,0.2968
ties_v4_l07_d04,0.7,0.4,0.68,0.714,0.3769,0.1328,0.2965
ties_v4_l07_d06,0.7,0.6,0.656,0.694,0.3714,0.1278,0.2919
ties_v4_l07_d08,0.7,0.8,0.626,0.678,0.3734,0.1351,0.2951
ties_v4_l10_d02,1.0,0.2,0.71,0.816,0.3869,0.1441,0.3034
ties_v4_l10_d04,1.0,0.4,0.682,0.84,0.361,0.1348,0.2834
ties_v4_l10_d06,1.0,0.6,0.672,0.812,0.3775,0.1438,0.2985
ties_v4_l10_d08,1.0,0.8,0.656,0.786,0.3769,0.1399,0.295
